Date,SampleSize,Cohort
2017-03-17,3,Popart-Zambia-Copperbelt
2017-03-20,6,Popart-Zambia-Copperbelt
2017-03-21,4,Popart-Zambia-Copperbelt
2017-03-22,9,Popart-Zambia-Copperbelt
2017-03-23,2,Popart-Zambia-Copperbelt
2017-03-24,6,Popart-Zambia-Copperbelt
2017-03-28,5,Popart-Zambia-Copperbelt
2017-03-31,6,Popart-Zambia-Copperbelt
2017-03-29,11,Popart-Zambia-Copperbelt
2017-02-03,5,Popart-Zambia-Copperbelt
2017-02-06,4,Popart-Zambia-Copperbelt
2017-02-07,12,Popart-Zambia-Copperbelt
2017-02-08,9,Popart-Zambia-Copperbelt
2017-02-27,6,Popart-Zambia-Copperbelt
2017-03-02,8,Popart-Zambia-Copperbelt
2017-03-06,3,Popart-Zambia-Copperbelt
2017-03-07,3,Popart-Zambia-Copperbelt
2017-03-09,10,Popart-Zambia-Copperbelt
2016-11-18,3,Popart-Zambia-Copperbelt
2016-12-05,4,Popart-Zambia-Copperbelt
2016-12-20,6,Popart-Zambia-Copperbelt
2017-01-04,4,Popart-Zambia-Copperbelt
2017-01-05,3,Popart-Zambia-Copperbelt
2017-01-09,4,Popart-Zambia-Copperbelt
2017-01-10,4,Popart-Zambia-Copperbelt
2017-01-11,2,Popart-Zambia-Copperbelt
2017-01-12,6,Popart-Zambia-Copperbelt
2017-01-13,2,Popart-Zambia-Copperbelt
2017-01-16,5,Popart-Zambia-Copperbelt
2017-01-17,4,Popart-Zambia-Copperbelt
2017-01-18,9,Popart-Zambia-Copperbelt
2017-01-20,9,Popart-Zambia-Copperbelt
2017-01-23,10,Popart-Zambia-Copperbelt
2017-01-24,12,Popart-Zambia-Copperbelt
2017-01-25,5,Popart-Zambia-Copperbelt
2017-01-26,5,Popart-Zambia-Copperbelt
2017-01-06,7,Popart-Zambia-Copperbelt
2016-12-16,2,Popart-Zambia-Copperbelt
2016-12-21,5,Popart-Zambia-Copperbelt
2016-12-19,4,Popart-Zambia-Copperbelt
2017-02-24,1,Popart-Zambia-Copperbelt
2017-02-28,6,Popart-Zambia-Copperbelt
2017-01-19,7,Popart-Zambia-Copperbelt
2017-01-27,1,Popart-Zambia-Copperbelt
2017-03-10,6,Popart-Zambia-Copperbelt
2017-04-04,4,Popart-Zambia-Copperbelt
2017-03-27,6,Popart-Zambia-Copperbelt
2017-03-30,1,Popart-Zambia-Copperbelt
2017-03-01,2,Popart-Zambia-Copperbelt
2017-03-03,1,Popart-Zambia-Copperbelt
2017-04-07,2,Popart-Zambia-Copperbelt
2017-05-03,4,Popart-Zambia-Copperbelt
2017-05-02,9,Popart-Zambia-Copperbelt
2017-05-04,6,Popart-Zambia-Copperbelt
2017-05-08,3,Popart-Zambia-Copperbelt
2017-05-11,5,Popart-Zambia-Copperbelt
2017-05-10,6,Popart-Zambia-Copperbelt
2017-05-15,7,Popart-Zambia-Copperbelt
2017-05-16,3,Popart-Zambia-Copperbelt
2017-05-17,4,Popart-Zambia-Copperbelt
